,Date,Open,High,Low,Close,Adj Close,Volume
0,1986-09-08,5.3125,5.5625,5.3125,5.34375,4.240961,1090000
1,1986-09-09,5.34375,5.34375,5.15625,5.15625,4.09216,998000
2,1986-09-10,5.15625,5.1875,5.125,5.15625,4.09216,3112800
3,1986-09-11,5.125,5.125,4.90625,5.0,3.968151,263600
4,1986-09-12,5.0,5.0,4.84375,4.9375,3.9185470000000002,749600
5,1986-09-15,4.9375,4.9375,4.90625,4.90625,3.8937489999999997,175600
6,1986-09-16,4.875,4.875,4.75,4.78125,3.794546,206400
7,1986-09-17,4.78125,4.78125,4.71875,4.75,3.769742,108400
8,1986-09-18,4.75,4.90625,4.75,4.90625,3.8937489999999997,643200
9,1986-09-19,4.90625,4.9375,4.90625,4.9375,3.9185470000000002,212400
10,1986-09-22,4.96875,5.0625,4.96875,5.0625,4.017753,200000
11,1986-09-23,5.0625,5.09375,5.0,5.0625,4.017753,405600
12,1986-09-24,5.0625,5.34375,5.0625,5.25,4.166557,1560000
13,1986-09-25,5.21875,5.21875,5.15625,5.1875,4.116955,414000
14,1986-09-26,5.1875,5.1875,5.15625,5.1875,4.116955,314400
15,1986-09-29,5.1875,5.21875,5.15625,5.21875,4.141758,951600
16,1986-09-30,5.21875,5.34375,5.21875,5.3125,4.216158999999999,331600
17,1986-10-01,5.34375,5.4375,5.34375,5.375,4.265763,1872400
18,1986-10-02,5.375,5.625,5.34375,5.625,4.464169999999999,2767200
19,1986-10-03,5.625,5.75,5.53125,5.59375,4.439373000000001,3138400
20,1986-10-06,5.59375,5.625,5.53125,5.5625,4.414569,925200
21,1986-10-07,5.5625,5.59375,5.4375,5.5,4.364968,1152000
22,1986-10-08,5.5,5.5625,5.4375,5.5625,4.414569,2980400
23,1986-10-09,5.5625,5.625,5.5,5.5625,4.414569,4265200
24,1986-10-10,5.5625,5.625,5.53125,5.59375,4.439373000000001,996400
25,1986-10-13,5.59375,5.59375,5.4375,5.46875,4.340165,1656000
26,1986-10-14,5.375,5.375,5.125,5.21875,4.141758,2104000
27,1986-10-15,5.28125,5.40625,5.28125,5.3125,4.216158999999999,3973200
28,1986-10-16,5.3125,5.3125,5.1875,5.28125,4.1913599999999995,1820400
29,1986-10-17,5.25,5.25,5.0,5.125,4.067356,2462800
30,1986-10-20,5.125,5.1875,5.09375,5.125,4.067356,599600
31,1986-10-21,5.125,5.125,5.03125,5.0625,4.017753,1184800
32,1986-10-22,5.0625,5.125,5.03125,5.125,4.067356,1871600
33,1986-10-23,5.125,5.28125,5.125,5.1875,4.116955,1907200
34,1986-10-24,5.1875,5.21875,5.09375,5.09375,4.042555,997200
35,1986-10-27,5.09375,5.09375,4.9375,5.0,3.968151,412400
36,1986-10-28,5.0,5.0,4.9375,4.96875,3.9433519999999995,474800
37,1986-10-29,4.96875,4.96875,4.90625,4.90625,3.8937489999999997,407600
38,1986-10-30,4.90625,5.03125,4.90625,4.90625,3.8937489999999997,740400
39,1986-10-31,4.96875,5.03125,4.96875,5.0,3.968151,1260800
40,1986-11-03,5.0,5.0,4.9375,4.96875,3.9433519999999995,352400
41,1986-11-04,4.96875,5.0,4.84375,4.9375,3.9185470000000002,992400
42,1986-11-05,4.9375,5.1875,4.90625,5.1875,4.116955,4848800
43,1986-11-06,5.1875,5.34375,5.15625,5.25,4.166557,1708400
44,1986-11-07,5.25,5.28125,5.125,5.15625,4.09216,988400
45,1986-11-10,5.15625,5.21875,5.125,5.1875,4.116955,714800
46,1986-11-11,5.1875,5.28125,5.1875,5.25,4.166557,806800
47,1986-11-12,5.25,5.3125,5.1875,5.25,4.166557,360400
48,1986-11-13,5.3125,5.375,5.3125,5.34375,4.240961,1512400
49,1986-11-14,5.3125,5.3125,5.1875,5.1875,4.116955,974400
50,1986-11-17,5.125,5.125,5.0,5.0625,4.017753,1936800
51,1986-11-18,5.0625,5.15625,4.96875,5.09375,4.042555,3282000
52,1986-11-19,5.0625,5.0625,4.9375,5.0,3.968151,2298800
53,1986-11-20,5.0,5.03125,4.9375,5.0,3.968151,828000
54,1986-11-21,5.0,5.03125,4.9375,4.96875,3.9433519999999995,546000
55,1986-11-24,4.96875,5.03125,4.96875,4.96875,3.9433519999999995,1268800
56,1986-11-25,4.96875,4.96875,4.875,4.875,3.8689480000000005,1481200
57,1986-11-26,4.875,4.96875,4.875,4.96875,3.9433519999999995,682000
58,1986-11-28,4.96875,4.96875,4.9375,4.9375,3.9185470000000002,118000
59,1986-12-01,4.9375,4.96875,4.90625,4.9375,3.9185470000000002,219200
60,1986-12-02,4.9375,5.0625,4.90625,4.9375,3.9185470000000002,2114400
61,1986-12-03,4.9375,4.96875,4.875,4.9375,3.9185470000000002,865600
62,1986-12-04,4.9375,5.0,4.90625,4.9375,3.9185470000000002,1023200
63,1986-12-05,4.9375,4.9375,4.8125,4.875,3.8689480000000005,298400
64,1986-12-08,4.84375,4.84375,4.75,4.78125,3.794546,261200
65,1986-12-09,4.78125,4.78125,4.625,4.71875,3.7449440000000003,602800
66,1986-12-10,4.6875,4.6875,4.59375,4.65625,3.695343,3072400
67,1986-12-11,4.65625,4.6875,4.59375,4.625,3.6705410000000005,456400
68,1986-12-12,4.625,4.65625,4.59375,4.59375,3.64574,1894000
69,1986-12-15,4.625,4.78125,4.625,4.71875,3.7449440000000003,2924800
70,1986-12-16,4.71875,4.84375,4.71875,4.8125,3.819346,2084000
71,1986-12-17,4.8125,4.84375,4.75,4.75,3.769742,1300800
72,1986-12-18,4.75,4.8125,4.6875,4.71875,3.7449440000000003,1665600
73,1986-12-19,4.71875,4.78125,4.71875,4.75,3.769742,1401600
74,1986-12-22,4.75,4.84375,4.71875,4.8125,3.819346,1045600
75,1986-12-23,4.84375,5.125,4.84375,5.09375,4.042555,1435600
76,1986-12-24,5.09375,5.125,4.96875,4.96875,3.9433519999999995,394000
77,1986-12-26,5.0,5.03125,5.0,5.03125,3.9929550000000003,58400
78,1986-12-29,5.03125,5.0625,4.96875,5.0,3.968151,304000
79,1986-12-30,5.0,5.125,5.0,5.125,4.067356,686000
80,1986-12-31,5.09375,5.09375,5.03125,5.03125,3.9929550000000003,434800
81,1987-01-02,5.03125,5.0625,5.0,5.0625,4.017753,166000
82,1987-01-05,5.0625,5.125,5.0,5.125,4.067356,539600
83,1987-01-06,5.125,5.25,5.125,5.1875,4.116955,458800
84,1987-01-07,5.1875,5.21875,5.09375,5.1875,4.116955,904800
85,1987-01-08,5.1875,5.28125,5.1875,5.1875,4.116955,498000
86,1987-01-09,5.1875,5.34375,5.1875,5.3125,4.216158999999999,1431200
87,1987-01-12,5.3125,5.5625,5.3125,5.5,4.364968,1696800
88,1987-01-13,5.5,5.65625,5.46875,5.625,4.464169999999999,1767600
89,1987-01-14,5.65625,5.84375,5.65625,5.84375,4.63778,3704000
90,1987-01-15,5.84375,5.84375,5.625,5.6875,4.5137730000000005,3809600
91,1987-01-16,5.65625,5.65625,5.4375,5.46875,4.340165,1547600
92,1987-01-19,5.46875,5.6875,5.46875,5.625,4.464169999999999,938000
93,1987-01-20,5.625,5.6875,5.5625,5.6875,4.5137730000000005,2273200
94,1987-01-21,5.6875,5.6875,5.5625,5.5625,4.414569,528400
95,1987-01-22,5.5625,5.65625,5.40625,5.625,4.464169999999999,518000
96,1987-01-23,5.625,5.75,5.625,5.6875,4.5137730000000005,365600
97,1987-01-26,5.65625,5.65625,5.53125,5.59375,4.439373000000001,274400
98,1987-01-27,5.59375,5.6875,5.59375,5.625,4.464169999999999,226000
99,1987-01-28,5.625,5.65625,5.5625,5.59375,4.439373000000001,664800
100,1987-01-29,5.59375,5.65625,5.5625,5.5625,4.414569,1347200
101,1987-01-30,5.5625,5.5625,5.40625,5.5,4.364968,268000
102,1987-02-02,5.5,5.6875,5.46875,5.6875,4.5137730000000005,586800
103,1987-02-03,5.6875,5.6875,5.59375,5.59375,4.439373000000001,774000
104,1987-02-04,5.59375,5.78125,5.59375,5.75,4.563374,2430400
105,1987-02-05,5.84375,6.03125,5.84375,5.96875,4.736979,3942800
106,1987-02-06,6.03125,6.1875,6.03125,6.125,4.8609849999999994,3120400
107,1987-02-09,6.09375,6.09375,5.90625,5.90625,4.687380999999999,1524400
108,1987-02-10,5.90625,5.90625,5.8125,5.84375,4.63778,214800
109,1987-02-11,5.84375,6.0,5.84375,5.9375,4.712179,1678800
110,1987-02-12,5.90625,5.90625,5.75,5.8125,4.612975,327200
111,1987-02-13,5.8125,5.84375,5.71875,5.84375,4.63778,1074000
112,1987-02-17,5.875,6.03125,5.875,6.03125,4.786583,1408800
113,1987-02-18,6.03125,6.03125,5.9375,5.9375,4.712179,2650800
114,1987-02-19,5.9375,5.96875,5.71875,5.75,4.563374,1731200
115,1987-02-20,5.75,5.75,5.65625,5.6875,4.5137730000000005,304000
116,1987-02-23,5.6875,5.75,5.625,5.625,4.464169999999999,592400
117,1987-02-24,5.625,5.78125,5.625,5.6875,4.5137730000000005,1123600
118,1987-02-25,5.6875,5.9375,5.65625,5.9375,4.712179,924000
119,1987-02-26,5.9375,5.96875,5.875,5.875,4.66258,690800
120,1987-02-27,5.875,5.90625,5.8125,5.8125,4.612975,165200
121,1987-03-02,5.8125,5.875,5.75,5.75,4.563374,336800
122,1987-03-03,5.75,5.84375,5.6875,5.84375,4.63778,291200
123,1987-03-04,5.875,6.03125,5.875,6.0,4.761779,1012400
124,1987-03-05,6.0,6.21875,5.9375,6.1875,4.91059,594000
125,1987-03-06,6.1875,6.46875,6.15625,6.34375,5.034593,792400
126,1987-03-09,6.3125,6.3125,6.1875,6.25,4.960189,360000
127,1987-03-10,6.25,6.3125,6.125,6.25,4.960189,671600
128,1987-03-11,6.25,6.28125,6.1875,6.25,4.960189,837200
129,1987-03-12,6.25,6.28125,6.15625,6.15625,4.885785,1148000
130,1987-03-13,6.15625,6.25,6.15625,6.1875,4.91059,888400
131,1987-03-16,6.1875,6.21875,6.125,6.1875,4.91059,310000
132,1987-03-17,6.25,6.4375,6.25,6.40625,5.084194,1797200
133,1987-03-18,6.46875,6.875,6.46875,6.5625,5.208199,2446400
134,1987-03-19,6.5625,6.8125,6.53125,6.75,5.357005,643600
135,1987-03-20,6.75,6.8125,6.75,6.78125,5.381806,235200
136,1987-03-23,6.78125,6.8125,6.75,6.78125,5.381806,790000
137,1987-03-24,6.78125,6.8125,6.71875,6.71875,5.332205,903200
138,1987-03-25,6.71875,6.75,6.59375,6.65625,5.2826010000000005,820000
139,1987-03-26,6.6875,6.78125,6.6875,6.75,5.357005,911200
140,1987-03-27,6.75,6.75,6.625,6.65625,5.2826010000000005,1165200
141,1987-03-30,6.5625,6.5625,6.25,6.3125,5.009791000000001,1118800
142,1987-03-31,6.3125,6.5,6.3125,6.5,5.158597,835200
143,1987-04-01,6.5,6.5,6.375,6.46875,5.133797,574800
144,1987-04-02,6.5,6.625,6.5,6.5625,5.208199,954000
145,1987-04-03,6.625,6.9375,6.625,6.8125,5.406605,2568800
146,1987-04-06,6.8125,6.8125,6.65625,6.6875,5.307404,1047200
147,1987-04-07,6.6875,6.71875,6.625,6.625,5.257803,2482000
148,1987-04-08,6.625,6.6875,6.53125,6.59375,5.2329989999999995,354800
149,1987-04-09,6.59375,6.71875,6.5,6.5625,5.208199,540800
150,1987-04-10,6.5625,6.6875,6.5625,6.6875,5.307404,701200
151,1987-04-13,6.65625,6.65625,6.5,6.5625,5.208199,431600
152,1987-04-14,6.46875,6.46875,6.1875,6.1875,4.91059,338400
153,1987-04-15,6.25,6.625,6.25,6.625,5.257803,759600
154,1987-04-16,6.625,6.8125,6.625,6.6875,5.307404,1009600
155,1987-04-20,6.6875,6.6875,6.40625,6.4375,5.108994999999999,557600
156,1987-04-21,6.4375,6.53125,6.34375,6.40625,5.084194,1383200
157,1987-04-22,6.40625,6.46875,6.375,6.375,5.059391000000001,632800
158,1987-04-23,6.375,6.5625,6.375,6.5625,5.208199,392000
159,1987-04-24,6.5625,6.6875,6.53125,6.6875,5.307404,332800
160,1987-04-27,6.6875,6.6875,6.4375,6.625,5.257803,559600
161,1987-04-28,6.625,6.75,6.59375,6.6875,5.307404,411600
162,1987-04-29,6.6875,6.75,6.65625,6.6875,5.307404,1167600
163,1987-04-30,6.6875,7.0,6.6875,6.9375,5.505809999999999,1685600
